event_date,gri,volume_score,severity_score,concentration_score,total_events,avg_goldstein,gri_armed_conflict_,gri_sanctions_finan,gri_technology_cont,gri_trade_policy_ac,gri_resource_energy,gri_regulatory_sove,gri_political_trans,gri_institutional_a
2022-04-16,58.0,36.4600701354224,84.42350495306155,48.00134818522141,2706,-6.884700990612307,66.2,62.8,,61.1,,54.3,57.0,
2022-04-17,57.8,35.53236104046678,84.66781184300828,48.73847462774812,2604,-6.933562368601656,65.6,64.0,,63.9,,51.9,54.5,
2022-04-18,62.9,47.84599177130234,84.6373730453607,49.47438457736036,3400,-6.927474609072144,72.8,64.6,,66.3,,56.9,60.3,
2022-04-19,65.1,54.37486753674462,84.63033605861929,47.33067430247647,3831,-6.926067211723857,75.7,68.0,,68.5,,69.1,63.3,
2022-04-20,64.3,54.099933091366836,84.36595450395679,44.50808496424396,3880,-6.873190900791357,74.8,67.0,,68.6,,74.3,66.9,
2022-04-21,64.4,54.10718034418762,84.35218121998588,45.0196038157256,3886,-6.870436243997176,74.9,67.0,,65.4,,76.8,67.2,
2022-04-22,63.7,51.24855662270807,84.54638738064283,46.8257784825405,3683,-6.909277476128567,73.6,65.0,,67.2,,69.0,64.3,
2022-04-23,59.1,37.348411054511196,84.52821291998146,51.49728852916666,2741,-6.905642583996292,67.4,62.0,,61.2,,54.6,54.9,
2022-04-24,57.7,34.34703769038191,84.56073329913497,50.70812823568139,2545,-6.91214665982699,65.4,61.6,,60.3,,52.5,54.6,
2022-04-25,64.0,51.4735044915739,84.40951842999254,48.44509570144296,3663,-6.881903685998509,74.6,63.7,,66.6,,64.3,63.6,
2022-04-26,63.6,52.1289959766347,84.0131172296149,45.702241035850506,3746,-6.802623445922981,74.0,64.9,,67.7,,63.8,66.3,
2022-04-27,64.8,56.66872772106222,83.81793457765968,43.23549366941704,4048,-6.763586915531937,75.6,70.3,,69.8,,68.9,68.2,
2022-04-28,64.1,54.54955491506007,83.87860757132957,43.46077455712531,3919,-6.775721514265915,74.3,69.8,,67.4,,65.2,67.8,
2022-04-29,63.0,51.05044114575752,84.43084761296461,44.222468228586855,3725,-6.886169522592921,73.0,66.9,,66.0,,57.3,67.9,
2022-04-30,57.3,34.103568312457455,84.64812653214288,48.909415668850286,2571,-6.929625306428578,65.1,61.8,,60.7,,54.1,55.4,
2022-05-01,56.4,32.163621193256986,84.37365477150766,48.76358144921866,2419,-6.874730954301532,63.8,61.4,,62.8,,50.5,53.8,
2022-05-02,60.2,42.20898989768399,84.78687999467738,47.244234368441795,3082,-6.957375998935477,68.9,64.0,,63.8,,58.0,60.1,
2022-05-03,63.5,51.77320166994209,84.45655258115255,45.190440228861235,3741,-6.89131051623051,73.3,66.4,,66.5,,59.1,67.4,
2022-05-04,64.5,54.382584416860304,84.38674094451419,44.804531413168014,3897,-6.877348188902836,74.4,68.5,,69.1,,57.0,67.9,
2022-05-05,64.1,53.53320441788606,84.19930885754019,45.22593004686252,3836,-6.839861771508038,74.3,67.2,,66.8,,75.5,65.9,
2022-05-06,63.3,50.869126934595116,84.3279901366648,46.28029654123472,3681,-6.865598027332956,73.0,64.6,,68.0,,58.5,65.7,
2022-05-07,58.1,36.134173664146374,84.4591488587049,49.51209678902683,2702,-6.891829771740982,66.0,61.3,,61.1,,54.8,56.4,
2022-05-08,59.1,37.67696042137498,84.53053835033593,50.98789750209306,2737,-6.906107670067186,67.3,64.7,,62.5,,55.8,53.4,
2022-05-09,64.5,53.32154677466954,84.60635707740585,46.71321107232411,3784,-6.921271415481168,75.0,69.3,,67.8,,63.6,63.3,
2022-05-10,65.6,56.75910915812067,84.44654469640611,45.68600878948658,4069,-6.889308939281223,76.2,66.5,,67.9,,65.1,69.2,
2022-05-11,66.4,57.24518035555818,84.71506381737234,48.03594325973168,4078,-6.943012763474468,77.1,65.7,,65.4,,60.0,68.5,
2022-05-12,65.1,55.5146865399353,84.08474601780567,46.526708928788985,3982,-6.816949203561134,75.9,64.9,,68.5,,60.6,68.0,
2022-05-13,63.7,52.27158225624415,84.37690198371747,45.31405420503864,3817,-6.875380396743493,74.0,65.8,,63.6,,60.7,68.7,
2022-05-14,58.1,34.79316912275211,84.57378983845241,51.883743339858476,2594,-6.914757967690481,65.8,61.6,,61.4,,49.5,53.9,
2022-05-15,60.6,39.00575243230993,84.74509143427717,55.288538464739375,2810,-6.949018286855436,69.1,62.2,,60.4,,54.2,53.3,
2022-05-16,65.7,55.11131686412572,84.31390120891825,49.54053197903933,3903,-6.862780241783651,76.8,65.0,,65.6,,70.7,63.7,
2022-05-17,66.7,58.4375273070972,84.71856399865409,47.431379127353054,4157,-6.943712799730818,78.1,67.3,,66.2,,71.0,67.5,
2022-05-18,65.1,55.13535335142113,84.56074272999598,46.35313748893314,3963,-6.9121485459991945,75.7,67.2,,65.7,,76.4,66.6,
2022-05-19,64.5,53.58578467725391,84.48054251578282,46.59284679492001,3853,-6.896108503156563,74.8,67.2,,68.1,,63.2,65.6,
2022-05-20,62.1,48.38146654918428,84.27189215402585,45.34786495414185,3546,-6.85437843080517,71.4,65.8,,66.8,,69.6,63.9,
2022-05-21,56.9,32.54229817816959,84.53937774342151,50.171034793131305,2469,-6.9078755486843,64.3,62.0,,62.2,,55.9,52.9,
2022-05-22,57.0,32.080039917717606,84.3867359656166,52.20039934552293,2409,-6.877347193123318,64.3,61.0,,61.6,,53.4,52.1,
2022-05-23,63.0,49.5401981244366,84.20751751590846,47.35527248569912,3580,-6.841503503181694,72.8,65.9,,66.1,,59.0,63.5,
2022-05-24,66.3,57.557438077145775,84.4692208467723,47.68326690675312,4090,-6.893844169354462,77.3,66.8,,71.2,,57.5,67.0,
2022-05-25,74.6,76.60974119299983,84.69274299818741,50.625123988755135,4318,-6.938548599637483,90.1,65.1,,75.5,,55.1,69.3,
2022-05-26,71.2,68.2889865686096,84.73991232979242,49.729427655133144,4068,-6.94798246595848,84.8,64.3,,68.2,,56.2,69.0,
2022-05-27,64.3,52.68723481329302,84.34832217453504,47.56894686285286,3607,-6.86966443490701,74.9,66.7,,59.9,,52.1,66.0,
2022-05-28,53.9,26.464413212790294,84.40091223908462,47.93062664980183,2746,-6.880182447816924,61.1,58.4,,63.7,,53.3,53.6,
2022-05-29,53.8,22.740403142288372,84.64158596926,54.401229282268574,2537,-6.9283171938520045,61.2,58.0,,49.7,,53.4,46.6,
2022-05-30,61.3,42.822069592640965,84.919146263901,51.23669481225367,3191,-6.9838292527801995,71.1,64.3,,61.3,,57.2,54.9,
2022-05-31,66.9,59.09531160266177,84.10136690801714,48.20605051110413,3734,-6.820273381603426,78.3,75.5,,61.9,,54.7,63.1,
2022-06-01,68.0,62.409382616868974,83.8382284163998,47.545317848615944,3866,-6.767645683279959,79.7,70.1,,66.3,,61.5,67.1,
2022-06-02,68.3,62.02575527296207,84.44604165073856,48.52595850516848,3848,-6.8892083301477145,80.1,68.0,,66.6,,56.4,67.1,
2022-06-03,63.4,49.78847971534033,84.58625192820108,48.47612826082047,3474,-6.917250385640216,73.6,65.3,,59.9,,54.8,63.8,
2022-06-04,54.5,26.096245090449735,84.59311238684505,51.34831990632798,2673,-6.918622477369008,62.0,62.5,,55.9,,49.8,49.6,
2022-06-05,53.9,22.17894536845877,84.60789222990478,56.01708769110576,2484,-6.921578445980954,61.1,59.4,,51.4,,53.0,44.6,
2022-06-06,64.5,51.89123385908046,84.41146855679328,50.05629036757872,3479,-6.882293711358654,75.4,66.4,,69.7,,56.1,59.6,
2022-06-07,65.9,57.6338987144861,84.52186266308665,45.32795565155068,3742,-6.904372532617332,76.1,71.3,,69.5,,61.2,69.6,
2022-06-08,66.3,58.84529573849484,84.29344329806923,45.34235541563013,3785,-6.858688659613845,76.7,67.0,,75.4,,68.2,69.8,
2022-06-09,65.1,56.31787429224774,84.41627020963874,44.004833380380695,3729,-6.8832540419277475,74.5,70.6,,69.3,,66.6,71.7,
2022-06-10,63.4,51.34604954312102,84.41750147289977,45.57979201237251,3545,-6.883500294579953,72.7,71.7,,58.6,,63.9,67.1,
2022-06-11,51.9,21.29768427072265,84.91080041129003,46.89731687941139,2568,-6.982160082258007,57.4,59.0,,54.8,,56.8,54.9,
2022-06-12,52.4,21.533974802266606,84.97211886763031,48.834237539736996,2525,-6.994423773526063,58.5,54.7,,61.3,,59.8,52.2,
2022-06-13,64.1,52.04132680904321,84.57965109329012,47.12242719013933,3506,-6.9159302186580245,74.0,63.7,,80.5,,58.8,64.1,
2022-06-14,66.8,60.43605108430982,84.30388203491486,44.55055336745143,3816,-6.8607764069829695,76.8,70.2,,76.9,,66.4,71.6,
2022-06-15,67.9,62.547235233714055,84.69216698400152,45.25672171312235,3866,-6.938433396800304,78.1,69.7,,83.1,,64.5,70.6,
2022-06-16,65.2,57.05571491652932,84.31112134405504,43.481534860500496,3755,-6.8622242688110076,74.1,70.7,,69.5,,56.9,75.5,
2022-06-17,63.4,52.811880159070874,84.29931097048161,42.848090640060164,3647,-6.859862194096321,71.7,65.9,,70.1,,64.0,75.0,
2022-06-18,52.4,22.22050450908842,84.72335355608631,48.149594001099565,2596,-6.944670711217263,58.4,54.7,,54.8,,58.4,54.7,
2022-06-19,52.0,18.75446133684618,84.55376033744854,53.15217268079221,2376,-6.910752067489706,58.4,56.4,,60.9,,56.9,45.0,
2022-06-20,62.9,49.3223168765495,84.3902924372709,47.00805315203197,3410,-6.878058487454179,72.3,65.1,,81.8,,53.4,63.1,
2022-06-21,65.9,57.38143897490717,84.16291641380239,46.62148634135333,3671,-6.832583282760479,76.1,71.3,,74.4,,57.7,66.7,
2022-06-22,66.9,59.55800749766709,84.48002210361085,46.191671068725995,3766,-6.896004420722173,76.9,69.8,,69.3,,58.3,70.8,
2022-06-23,65.3,56.31895444318264,84.08964777917141,45.68018261668364,3657,-6.817929555834283,74.9,75.5,,63.4,,58.4,68.8,
2022-06-24,63.2,51.669055653945684,83.86205003188584,44.745069151211894,3566,-6.772410006377167,71.4,62.2,,73.3,,52.8,72.5,
2022-06-25,55.5,29.81638785267026,84.78802603910438,48.163606192766565,2833,-6.957605207820874,61.5,53.3,,64.2,,53.5,59.0,
2022-06-26,54.3,25.659726550734078,84.90239619690611,50.198681793862164,2622,-6.9804792393812205,60.5,63.4,,64.0,,50.7,50.7,
2022-06-27,64.0,53.128846313029285,84.77475236356918,44.341352347338145,3564,-6.954950472713837,72.3,77.8,,69.6,,60.0,68.4,
2022-06-28,68.9,66.01027866759291,84.35767012805225,43.9066206339161,4006,-6.8715340256104485,78.7,70.8,,84.0,,60.2,76.9,
2022-06-29,69.5,66.87552340908137,84.45390680936005,44.782970888959724,4003,-6.890781361872007,79.8,75.2,,78.1,,62.8,73.9,
2022-06-30,70.1,68.18885616972527,84.21799876897153,45.6669119813815,4051,-6.843599753794305,80.8,70.8,,73.4,,63.8,74.8,
2022-07-01,64.6,53.82627841746698,84.47718388680123,46.290698641657215,3593,-6.895436777360246,73.9,65.0,,69.4,,65.4,68.0,
2022-07-02,54.0,24.22022574384917,84.78130522988265,51.78263887578194,2610,-6.95626104597653,60.5,55.0,,50.2,,55.7,51.9,
2022-07-03,52.9,19.85163368194735,84.92819569974502,54.84489372023358,2414,-6.985639139949005,59.1,52.0,,54.3,,55.8,47.1,
2022-07-04,58.7,37.05567693884684,84.74661409844245,50.05037369186082,2993,-6.94932281968849,67.0,58.9,,59.1,,59.8,57.4,
2022-07-05,66.6,57.175373200824005,84.30518692320203,49.88096815461828,3628,-6.861037384640409,77.8,62.1,,64.3,,61.2,64.9,
2022-07-06,66.8,59.66647501090876,84.44965960808287,45.798858464394144,3733,-6.889931921616572,76.9,75.0,,79.7,,65.6,67.4,
2022-07-07,65.8,57.67381411236551,84.18074595115691,45.42661022950817,3705,-6.836149190231382,75.6,67.9,,73.6,,64.3,70.4,
2022-07-08,65.8,55.690256987966684,84.46213259996102,48.828978195270814,3585,-6.892426519992206,76.7,67.0,,69.8,,61.4,63.7,
2022-07-09,52.9,22.46598837624773,84.6819686766634,50.21050633829146,2536,-6.936393735332681,59.0,57.5,,63.0,,58.6,49.7,
2022-07-10,52.5,19.164373862059588,84.79726298514237,54.69542301307323,2366,-6.959452597028475,58.5,58.4,,48.6,,60.7,45.6,
2022-07-11,63.2,48.75533403403557,84.31359114339887,49.78877747405761,3327,-6.862718228679774,73.0,72.1,,59.4,,65.1,59.1,62.6
2022-07-12,63.9,51.512091534922774,83.92955812179056,48.7991956704143,3430,-6.785911624358113,74.1,69.8,,62.6,,61.5,62.4,79.9
2022-07-13,66.1,57.49151820971865,84.3197104807909,46.98089743670402,3654,-6.86394209615818,76.3,68.2,,66.6,,68.0,68.1,88.3
2022-07-14,67.7,61.22150667783105,84.14411655011008,47.870898899661796,3764,-6.828823310022018,78.8,67.0,,67.6,,63.0,69.1,70.8
2022-07-15,64.7,54.78284325172019,83.91373456475641,46.29961902486536,3587,-6.782746912951281,74.5,69.8,,67.2,,64.3,67.8,70.7
2022-07-16,53.8,23.844775199503637,84.39207852980118,52.64527523338602,2556,-6.8784157059602355,60.7,56.6,,52.0,,57.8,50.1,70.6
2022-07-17,53.6,21.140839399979097,84.92423245963938,55.6518799918768,2414,-6.984846491927877,60.0,55.5,,55.6,,53.6,46.5,
